?Dystonia 4, torsion, autosomal dominant	http://purl.obolibrary.org/obo/HP_0001304	Torsion dystonia	Case 6b: Found Exact With HP Annotator	
?Globozoospermia	http://purl.obolibrary.org/obo/HP_0012205	Globozoospermia	Case 8: Found Mappings, No Match Detected	
?Lipodystrophy, familial partial, type 5	http://purl.obolibrary.org/obo/DOID_811	lipodystrophy	Case 8: Found Mappings, No Match Detected	
?Osteoporosis, involutional	http://purl.obolibrary.org/obo/DOID_11476	osteoporosis	Case 8: Found Mappings, No Match Detected	
?Polydactyly, postaxial, type A6	http://purl.obolibrary.org/obo/DOID_1148	polydactyly	Case 8: Found Mappings, No Match Detected	
?Ptosis, congenital	http://purl.obolibrary.org/obo/HP_0000508	Ptosis		178300
?Retinitis pigmentosa 66	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Case 4b: Found Exact With Disease Annotator	
?Sarcoma, synovial	http://purl.obolibrary.org/obo/DOID_5485	synovial sarcoma	Case 8: Found Mappings, No Match Detected	
?Stomatocytosis I	http://purl.obolibrary.org/obo/HP_0004446	Stomatocytosis		185000
[Dysalbuminemic hyperzincemia]	http://purl.obolibrary.org/obo/HP_0011424	Increased serum zinc		194470
[Dystransthyretinemic hyperthyroxinemia]	http://purl.obolibrary.org/obo/DOID_2855	hyperthyroxinemia		145680
[Erythrocytosis, familial, 1]	http://purl.obolibrary.org/obo/DOID_8432	Polycythemia		133100
[Glutaric aciduria III]	http://purl.obolibrary.org/obo/HP_0003150	Glutaric aciduria		231690
[High molecular weight kininogen deficiency]	http://purl.obolibrary.org/obo/HP_0005527	Reduced kininogen activity		
[Histidinemia]	http://purl.obolibrary.org/obo/DOID_0060168	histidinemia		235800
[Kininogen deficiency]	http://purl.obolibrary.org/obo/HP_0005527	Reduced kininogen activity	Case 7a: Found Synonym With HP Annotator Synonym	
[Malaria, resistance to]	http://purl.obolibrary.org/obo/DOID_12365	malaria		611162
[Premature chromatid separation trait]	http://purl.obolibrary.org/obo/HP_0200024	Premature chromatid separation		176430
{?Schizophrenia susceptibility 18}	http://purl.obolibrary.org/obo/DOID_5419	schizophrenia	Case 4b: Found Exact With Disease Annotator	
{?Schizophrenia, susceptibility to}	http://purl.obolibrary.org/obo/DOID_5419	schizophrenia		603013
{46XY sex reversal 8, modifier of}	http://purl.obolibrary.org/obo/DOID_14448	46 XY gonadal dysgenesis		
{AIDS, delayed/rapid progression to}	http://purl.obolibrary.org/obo/DOID_635	acquired immunodeficiency syndrome	Case 5b: Found Synonym With Disease Annotator Synonym	
{AIDS, rapid progression to}	http://purl.obolibrary.org/obo/DOID_635	acquired immunodeficiency syndrome	Case 5b: Found Synonym With Disease Annotator Synonym	
{AIDS, resistance to}	http://purl.obolibrary.org/obo/DOID_635	acquired immunodeficiency syndrome	Case 5b: Found Synonym With Disease Annotator Synonym	
{AIDS, slow progression to}	http://purl.obolibrary.org/obo/DOID_635	acquired immunodeficiency syndrome	Case 5b: Found Synonym With Disease Annotator Synonym	
{Allergic rhinitis, susceptibility to}	http://purl.obolibrary.org/obo/DOID_4481	allergic rhinitis		607154
{Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to}	http://purl.obolibrary.org/obo/DOID_1307	dementia		105500
