GeneSymbol	GeneId	EvidenceCode	Comments	isNegative	ExternalDatabase	DatabaseLink	Phenotypes
MCCC2	64087	TAS	3-Methylcrotonyl-CoA carboxylase 2 deficiency		OMIM	210210	3-Methylcrotonyl-CoA carboxylase deficiency
MCCC1	56922	TAS	3-Methylcrotonyl-CoA carboxylase 1 deficiency		OMIM	210200	3-Methylcrotonyl-CoA carboxylase deficiency
DNAJC19	131118	TAS	3-methylglutaconic aciduria, type V		OMIM	610198	3-Methylglutaconic aciduria
SERAC1	84947	TAS	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome		OMIM	614739	3-Methylglutaconic aciduria
OPA3	80207	TAS	3-methylglutaconic aciduria, type III		OMIM	258501	3-Methylglutaconic aciduria
AUH	549	TAS	3-methylglutaconic aciduria, type I		OMIM	250950	3-Methylglutaconic aciduria
SRY	6736	TAS	46XX sex reversal 1		OMIM	400045	46 XX gonadal dysgenesis
NR5A1	2516	TAS	46XY sex reversal 3		OMIM	612965	46 XY gonadal dysgenesis
DHH	50846	TAS	46XY sex reversal 7		OMIM	233420	46 XY gonadal dysgenesis
NR0B1	190	TAS	46XY sex reversal 2, dosage-sensitive		OMIM	300018	46 XY gonadal dysgenesis
MAP3K1	4214	TAS	46XY sex reversal 6		OMIM	613762	46 XY gonadal dysgenesis
CBX2	84733	TAS	46XY sex reversal 5		OMIM	613080	46 XY gonadal dysgenesis
FGD1	2245	TAS	Aarskog-Scott syndrome; Mental retardation, X-linked syndromic 16		OMIM	305400	Aarskog-Scott syndrome
EDNRB	1910	TAS	ABCD syndrome		OMIM	600501	ABCD syndrome
MTTP	4547	TAS	Abetalipoproteinemia		OMIM	200100	abetalipoproteinemia
CP	1356	TAS	Cerebellar ataxia; Hemosiderosis, systemic, due to aceruloplasminemia; [Hypoceruloplasminemia, hereditary]		OMIM	604290	aceruloplasminemia
LMBR1	64327	TAS	Acheiropody		OMIM	200500	acheiropody
TRIP11	9321	TAS	Achondrogenesis, type IA		OMIM	200600	achondrogenesis type IA
SLC26A2	1836	TAS	Achondrogenesis Ib		OMIM	600972	achondrogenesis type IB
COL2A1	1280	TAS	Achondrogenesis, type II or hypochondrogenesis		OMIM	200610	achondrogenesis type II
FGFR3	2261	TAS	Achondroplasia		OMIM	100800	achondroplasia
CNGB3	54714	TAS	Achromatopsia-3		OMIM	262300	achromatopsia
PDE6C	5146	TAS	Cone dystrophy 4		OMIM	613093	achromatopsia
CNGA3	1261	TAS	Achromatopsia-2		OMIM	216900	achromatopsia
UMPS	7372	TAS	Orotic aciduria		OMIM	258900	Aciduria
DHTKD1	55526	TAS	2-aminoadipic 2-oxoadipic aciduria		OMIM	204750	Aciduria
GLYCTK	132158	TAS	D-glyceric aciduria		OMIM	220120	Aciduria
CCL3L1	6349	TAS	{HIV/AIDS, susceptibility to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
CCL11	6356	TAS	{HIV1, resistance to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
CCL2	6347	TAS	{HIV-1, resistance to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
KIR3DL1	3811	TAS	{AIDS, delayed/rapid progression to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
CD209	30835	TAS	{HIV type 1, susceptibility to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
IL10	3586	TAS	{HIV-1, susceptibility to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
IFNG	3458	TAS	{AIDS, rapid progression to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
IL4R	3566	TAS	{AIDS, slow progression to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
CCL3	6348	TAS	{HIV infection, resistance to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
CX3CR1	1524	TAS	{Rapid progression to AIDS from HIV1 infection}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
HLA-C	3107	TAS	{HIV-1 viremia, susceptibility to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
CXCL12	6387	TAS	{AIDS, resistance to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
CXCR1	3577	TAS	{AIDS, slow progression to}		OMIM	609423	acquired immunodeficiency syndrome;Human immunodeficiency virus infectious disease
KIF7	374654	TAS	Acrocallosal syndrome; Joubert syndrome 12		OMIM	200990	acrocallosal syndrome
IHH	3549	TAS	Acrocapitofemoral dysplasia		OMIM	607778	acrocapitofemoral dysplasia
FGFR2	2263	TAS	Apert syndrome		OMIM	101200	acrocephalosyndactylia
SLC39A4	55630	TAS	Acrodermatitis enteropathica		OMIM	201100	acrodermatitis enteropathica
PDE4D	5144	TAS	Acrodysostosis 2, with or without hormone resistance		OMIM	614613	acrodysostosis
PRKAR1A	5573	TAS	Acrodysostosis 1, with or without hormone resistance		OMIM	101800	acrodysostosis
ATP2A2	488	TAS	Acrokeratosis verruciformis		OMIM	101900	acrokeratosis verruciformis
GDF5	8200	TAS	Chondrodysplasia, Grebe type		OMIM	200700	acromesomelic dysplasia, Grebe type
GDF5	8200	TAS	Acromesomelic dysplasia, Hunter-Thompson type		OMIM	201250	acromesomelic dysplasia, Hunter-Thompson type
NPR2	4882	TAS	Acromesomelic dysplasia, Maroteaux type		OMIM	602875	acromesomelic dysplasia, Maroteaux type
AIP	9049	TAS	Pituitary adenoma, ACTH-secreting		OMIM	219090	ACTH-secreting pituitary adenoma
HMBS	3145	TAS	Porphyria, acute intermittent; Porphyria, acute intermittent, nonerythroid variant		OMIM	176000	acute intermittent porphyria
LPP	4026	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
FLT3	2322	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
TERT	7015	TAS	{Leukemia, acute myeloid, susceptibility to}		OMIM	601626	acute myeloid leukemia
ARHGEF12	23365	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
JAK2	3717	TAS	Leukemia, acute myelogenous		OMIM	601626	acute myeloid leukemia
AMLCR2	9163	TAS	Leukemia, acute myelogenous		OMIM	601626	acute myeloid leukemia
MLF1	4291	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
PICALM	8301	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
CEBPA	1050	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
NSD1	64324	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
GATA2	2624	TAS	{Leukemia, acute myeloid, susceptibility to}		OMIM	601626	acute myeloid leukemia
MLLT10	8028	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
RUNX1	861	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
CBFB	865	TAS	Myeloid leukemia, acute, M4/M4Eo subtype, somatic		OMIM	601626	acute myeloid leukemia
ETV6	2120	TAS	Leukemia, acute myeloid, somatic		OMIM	601626	acute myeloid leukemia
CHIC2	26511	TAS	{Leukemia, acute myeloid}		OMIM	601626	acute myeloid leukemia
KIT	3815	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
SH3GL1	6455	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
NUP214	8021	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
WHSC1L1	54904	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
GMPS	8833	TAS	Leukemia, acute myelogenous		OMIM	601626	acute myeloid leukemia
NPM1	4869	TAS	Leukemia, acute myeloid		OMIM	601626	acute myeloid leukemia
HNF1A	6927	TAS	Hepatic adenoma, somatic		OMIM	142330	adenoma
SMARCAD1	56916	TAS	Adermatoglyphia		OMIM	136000	Adermatoglyphia
CYP21A2	1589	TAS	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency; Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency		OMIM	201910	adrenal hyperplasia
STAR	6770	TAS	Lipoid adrenal hyperplasia		OMIM	201710	adrenal hyperplasia
CYP11B1	1584	TAS	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency		OMIM	202010	adrenal hyperplasia
GNAS	2778	TAS	ACTH-independent macronodular adrenal hyperplasia		OMIM	219080	adrenal hyperplasia
NR0B1	190	TAS	Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism		OMIM	300200	Adrenal hypoplasia
TBX19	9095	TAS	Adrenocorticotropic hormone deficiency		OMIM	201400	Adrenocorticotropic hormone deficiency
ABCD1	215	TAS	Adrenoleukodystrophy; Adrenomyeloneuropathy		OMIM	300100	adrenoleukodystrophy
PEX5	5830	TAS	Peroxisome biogenesis disorder 2B		OMIM	202370	adrenoleukodystrophy
SMN1	6606	TAS	Spinal muscular atrophy-4		OMIM	271150	adult spinal muscular atrophy
