# MeSH entry terms as MONDO disease synonyms -- PRECOMPUTED, do not hand-edit.
# script: scripts/build_mesh_disease_synonyms.py
# built: 2026-08-15T02:02:39+00:00
# mesh: desc2026.gz (NLM, public domain)
# mondo: releases/2026-08-04
# join: MONDO-asserted only (obo MESH xref + sssom exactMatch); unambiguous only; disease branch (C*/F03)
# rows: 8158 over 2594 MONDO terms
mondo_uri	mondo_label	synonym	mesh_id
http://purl.obolibrary.org/obo/MONDO_0000004	adrenocortical insufficiency	Adrenal Gland Hypofunction	MESH:D000309
http://purl.obolibrary.org/obo/MONDO_0000004	adrenocortical insufficiency	Adrenal Insufficiencies	MESH:D000309
http://purl.obolibrary.org/obo/MONDO_0000022	nocturnal enuresis	Nighttime Urinary Incontinence	MESH:D053206
http://purl.obolibrary.org/obo/MONDO_0000082	pelvic organ prolapse	Pelvic Organ Prolapses	MESH:D056887
http://purl.obolibrary.org/obo/MONDO_0000082	pelvic organ prolapse	Urogenital Prolapse	MESH:D056887
http://purl.obolibrary.org/obo/MONDO_0000082	pelvic organ prolapse	Urogenital Prolapses	MESH:D056887
http://purl.obolibrary.org/obo/MONDO_0000087	polymicrogyria	Cerebral Micropolygyria	MESH:D065706
http://purl.obolibrary.org/obo/MONDO_0000087	polymicrogyria	Cerebral Micropolygyrias	MESH:D065706
http://purl.obolibrary.org/obo/MONDO_0000087	polymicrogyria	Cerebral Polymicrogyria	MESH:D065706
http://purl.obolibrary.org/obo/MONDO_0000087	polymicrogyria	Cerebral Polymicrogyrias	MESH:D065706
http://purl.obolibrary.org/obo/MONDO_0000087	polymicrogyria	Micropolygyria	MESH:D065706
http://purl.obolibrary.org/obo/MONDO_0000087	polymicrogyria	Micropolygyrias	MESH:D065706
http://purl.obolibrary.org/obo/MONDO_0000087	polymicrogyria	Polymicrogyrias	MESH:D065706
http://purl.obolibrary.org/obo/MONDO_0000088	precocious puberty	Precocious Puberties	MESH:D011629
http://purl.obolibrary.org/obo/MONDO_0000115	Chiari malformation	Arnold Chiari Deformity	MESH:D001139
http://purl.obolibrary.org/obo/MONDO_0000115	Chiari malformation	Arnold Chiari Malformation	MESH:D001139
http://purl.obolibrary.org/obo/MONDO_0000115	Chiari malformation	Arnold Chiari Syndrome	MESH:D001139
http://purl.obolibrary.org/obo/MONDO_0000115	Chiari malformation	Arnold-Chiari Deformity	MESH:D001139
http://purl.obolibrary.org/obo/MONDO_0000115	Chiari malformation	Arnold-Chiari Syndrome	MESH:D001139
http://purl.obolibrary.org/obo/MONDO_0000128	giant axonal neuropathy	Giant Axonal Neuropathy (GAN)	MESH:D056768
http://purl.obolibrary.org/obo/MONDO_0000153	transposition of the great arteries	Great Arteries Transposition	MESH:D014188
http://purl.obolibrary.org/obo/MONDO_0000153	transposition of the great arteries	Great Arteries Transpositions	MESH:D014188
http://purl.obolibrary.org/obo/MONDO_0000153	transposition of the great arteries	Great Vessels Transpositions	MESH:D014188
http://purl.obolibrary.org/obo/MONDO_0000153	transposition of the great arteries	Transposition of Great Arteries	MESH:D014188
http://purl.obolibrary.org/obo/MONDO_0000158	developmental dysplasia of the hip	Developmental Hip Dislocation	MESH:D000082602
http://purl.obolibrary.org/obo/MONDO_0000158	developmental dysplasia of the hip	Developmental Hip Dislocations	MESH:D000082602
http://purl.obolibrary.org/obo/MONDO_0000158	developmental dysplasia of the hip	Developmental Hip Dysplasia	MESH:D000082602
http://purl.obolibrary.org/obo/MONDO_0000158	developmental dysplasia of the hip	Developmental Hip Dysplasias	MESH:D000082602
http://purl.obolibrary.org/obo/MONDO_0000171	muscular dystrophy-dystroglycanopathy, type A	COD MD Syndrome	MESH:D058494
http://purl.obolibrary.org/obo/MONDO_0000171	muscular dystrophy-dystroglycanopathy, type A	COD-MD Syndrome	MESH:D058494
http://purl.obolibrary.org/obo/MONDO_0000171	muscular dystrophy-dystroglycanopathy, type A	COD-MD Syndromes	MESH:D058494
http://purl.obolibrary.org/obo/MONDO_0000171	muscular dystrophy-dystroglycanopathy, type A	Cerebroocular Dysplasia-Muscular Dystrophy Syndrome	MESH:D058494
http://purl.obolibrary.org/obo/MONDO_0000171	muscular dystrophy-dystroglycanopathy, type A	HARD Syndromes	MESH:D058494
http://purl.obolibrary.org/obo/MONDO_0000171	muscular dystrophy-dystroglycanopathy, type A	Pagon Syndromes	MESH:D058494
http://purl.obolibrary.org/obo/MONDO_0000171	muscular dystrophy-dystroglycanopathy, type A	Walker Warburg Syndrome	MESH:D058494
http://purl.obolibrary.org/obo/MONDO_0000190	ventricular fibrillation	Ventricular Fibrillations	MESH:D014693
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Dengue Hemorrhagic Fever	MESH:D019595
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Hemorrhagic Dengue	MESH:D019595
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Hemorrhagic Dengues	MESH:D019595
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Philippine Hemorrhagic Fever	MESH:D019595
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Severe Dengue	MESH:D019595
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Severe Dengues	MESH:D019595
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Singapore Hemorrhagic Fever	MESH:D019595
http://purl.obolibrary.org/obo/MONDO_0000248	dengue shock syndrome	Thai Hemorrhagic Fever	MESH:D019595
