# Plain text terms we recognize when loading GEO data, and we map them immediately to an Ontology term
# the fields are 1. string to be matched; 2. The value 3. ValueUri 4. Category 5. CategoryUri
# Case of the string value is ignored; the category is checked against the type of variable imported, so if it doesn't match what we have here,
# it won't be mapped.
# String value	value	valueUri	category	categoryUri
129	129 mouse strain	http://www.ebi.ac.uk/efo/EFO_0000597	strain	http://www.ebi.ac.uk/efo/EFO_0005135
126S6/SvEvTac	129S6	http://www.ebi.ac.uk/efo/EFO_0000598	strain	http://www.ebi.ac.uk/efo/EFO_0005135
129/Sv	129/Sv	http://www.ebi.ac.uk/efo/EFO_0000599	strain	http://www.ebi.ac.uk/efo/EFO_0005135
129S6	129S6	http://www.ebi.ac.uk/efo/EFO_0000598	strain	http://www.ebi.ac.uk/efo/EFO_0005135
129SV	129/Sv	http://www.ebi.ac.uk/efo/EFO_0000599	strain	http://www.ebi.ac.uk/efo/EFO_0005135
17beta-estradiol	17beta-estradiol	http://purl.obolibrary.org/obo/CHEBI_16469	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
2-pam	pralidoxime	http://purl.obolibrary.org/obo/CHEBI_8354	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
5-HT neuron	serotonergic neuron	http://purl.obolibrary.org/obo/CL_0000850	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
5xFAD	5xFAD	http://gemma.msl.ubc.ca/ont/TGEMO_00172	strain	http://www.ebi.ac.uk/efo/EFO_0005135
A/J	A/J	http://www.ebi.ac.uk/efo/EFO_0001327	strain	http://www.ebi.ac.uk/efo/EFO_0005135
A375	A-375 cell	http://purl.obolibrary.org/obo/CLO_0001582	cell line	http://purl.obolibrary.org/obo/CLO_0000031
A549	A549 cell	http://purl.obolibrary.org/obo/CLO_0001601	cell line	http://purl.obolibrary.org/obo/CLO_0000031
A549 cells	A549 cell	http://purl.obolibrary.org/obo/CLO_0001601	cell line	http://purl.obolibrary.org/obo/CLO_0000031
A549 epithelial cells	A549 cell	http://purl.obolibrary.org/obo/CLO_0001601	cell line	http://purl.obolibrary.org/obo/CLO_0000031
abdominal subcutaneous adipose tissue	subcutaneous abdominal adipose tissue	http://purl.obolibrary.org/obo/UBERON_0014455	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
ActD	actinomycin D	http://purl.obolibrary.org/obo/CHEBI_27666	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
active tuberculosis	tuberculosis	http://purl.obolibrary.org/obo/MONDO_0018076	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Acute hippocampal slice	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Acute Lymphoblastic Leukemia (ALL)	acute lymphoblastic leukemia	http://purl.obolibrary.org/obo/MONDO_0004967	disease	http://www.ebi.ac.uk/efo/EFO_0000408
acute myeloid leukemia	acute myeloid leukemia	http://purl.obolibrary.org/obo/MONDO_0018874	disease	http://www.ebi.ac.uk/efo/EFO_0000408
AD	Alzheimer disease	http://purl.obolibrary.org/obo/MONDO_0004975	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Adeno carcinoma	adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0004970	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Adenocarcinoma	adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0004970	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Adenocarcinoma (NOS) of the prostate	prostate adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0005082	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Adenocarcinoma of the Lung	lung adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0005061	disease	http://www.ebi.ac.uk/efo/EFO_0000408
adenoma	adenoma	http://purl.obolibrary.org/obo/MONDO_0004972	disease	http://www.ebi.ac.uk/efo/EFO_0000408
adipocyte	adipocyte	http://purl.obolibrary.org/obo/CL_0000136	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
adipose	adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001013	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
adipose tissue	adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001013	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
adipose_tissue	adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001013	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Adrenal	adrenal gland	http://purl.obolibrary.org/obo/UBERON_0002369	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
adrenal cortex	adrenal cortex	http://purl.obolibrary.org/obo/UBERON_0001235	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
adrenal gland	adrenal gland	http://purl.obolibrary.org/obo/UBERON_0002369	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Adrenocortical Carcinoma	adrenal cortex carcinoma	http://purl.obolibrary.org/obo/MONDO_0006639	disease	http://www.ebi.ac.uk/efo/EFO_0000408
adult	adult	http://www.ebi.ac.uk/efo/EFO_0001272	developmental stage	http://www.ebi.ac.uk/efo/EFO_0000399
Adult Brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Adult Head	head	http://purl.obolibrary.org/obo/UBERON_0000033	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Adult mouse midbrain	midbrain	http://purl.obolibrary.org/obo/UBERON_0001891	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
advanced non-small cell lung cancer	non-small cell lung carcinoma	http://purl.obolibrary.org/obo/MONDO_0005233	disease	http://www.ebi.ac.uk/efo/EFO_0000408
African American	African American	http://purl.obolibrary.org/obo/HANCESTRO_0568	population	http://purl.obolibrary.org/obo/OBI_0000181
