# Expression design file generated by Gemma on 12/14/2023
# shortName=GSE2018
# name=Human Lung Transplant - BAL
# Experiment details: https://gemma.msl.ubc.ca/expressionExperiment/showExpressionExperiment.html?id=1
# If you use this file for your research, please cite: 
# Lim et al. (2021) Curation of over 10 000 transcriptomic studies to enable data reuse. 
# Database, baab006 (doi:10.1093/database/baab006). 
#$batch : Category=block Type=Categorical
#$diseaseState : Category=disease Type=Categorical
Bioassay	ExternalID	batch	diseaseState
GSE2018_bioMaterial_34.GSM36456___BioAssayId=1Name=BAL_47c_A0B1	GSM36456	Batch_06_02_07_24	reference_subject_role
GSE2018_bioMaterial_33.GSM36455___BioAssayId=2Name=BAL_47b_A0B1	GSM36455	Batch_07_02_10_03	reference_subject_role
GSE2018_bioMaterial_32.GSM36454___BioAssayId=3Name=BAL_47a_A0B0	GSM36454	Batch_08_02_10_15	reference_subject_role
GSE2018_bioMaterial_31.GSM36453___BioAssayId=4Name=BAL_46_A2B0	GSM36453	Batch_01_02_01_31	disease_related_to_solid_organ_transplantation_|_lung_|
GSE2018_bioMaterial_30.GSM36452___BioAssayId=5Name=BAL_45b_A2B0	GSM36452	Batch_03_02_05_22	disease_related_to_solid_organ_transplantation_|_lung_|
GSE2018_bioMaterial_29.GSM36451___BioAssayId=6Name=BAL_45a_A1B0	GSM36451	Batch_06_02_07_24	reference_subject_role
GSE2018_bioMaterial_28.GSM36450___BioAssayId=7Name=BAL_44b_A0B0	GSM36450	Batch_02_02_04_03	reference_subject_role
GSE2018_bioMaterial_27.GSM36449___BioAssayId=8Name=BAL_44a_A0B0	GSM36449	Batch_08_02_10_15	reference_subject_role
GSE2018_bioMaterial_26.GSM36448___BioAssayId=9Name=BAL_43_A0B0	GSM36448	Batch_09_02_10_25	reference_subject_role
GSE2018_bioMaterial_25.GSM36447___BioAssayId=10Name=BAL_42_A0B0	GSM36447	Batch_11_02_11_27	reference_subject_role
