# Annotation file generated by Gemma
# Generated 10/27/2023
# If you use this file for your research, please cite: 
# Lim et al. (2021) Curation of over 10 000 transcriptomic studies to enable data reuse. 
# Database, baab006 (doi:10.1093/database/baab006). 
# Gemma link for this platform: https://gemma.msl.ubc.ca/arrays/showArrayDesign.html?id=2
# GPL1355  Affymetrix GeneChip Rat Genome 230 2.0 Array
# Rattus norvegicus
ProbeName	GeneSymbols	GeneNames	GOTerms	GemmaIDs	NCBIids
1391127_at					
1387788_at	Junb	JunB proto-oncogene, AP-1 transcription factor subunit	GO:0014070|GO:0032570|GO:0005515|GO:0036294|GO:0042127|GO:0110165|GO:0009891|GO:0019438|GO:0048522|GO:0051173|GO:2001141|GO:0048568|GO:0090575|GO:0048609|GO:1901360|GO:0050896|GO:0051252|GO:0006807|GO:0032991|GO:0051384|GO:0009605|GO:0019219|GO:1990837|GO:0071248|GO:0051171|GO:0032774|GO:1901576|GO:0045597|GO:1901698|GO:0001067|GO:0034641|GO:0050789|GO:0009893|GO:0080090|GO:0007565|GO:0048545|GO:0050794|GO:1902075|GO:0051385|GO:0045944|GO:0009628|GO:0003674|GO:0009410|GO:0010033|GO:0006139|GO:0006725|GO:0007275|GO:0044271|GO:1902074|GO:0000987|GO:0001649|GO:0060716|GO:0043565|GO:0032870|GO:0071704|GO:0009790|GO:0046697|GO:0009416|GO:0006950|GO:0033554|GO:0001666|GO:0005654|GO:0022414|GO:0010038|GO:0009058|GO:0070661|GO:0072724|GO:0003677|GO:0090304|GO:0044706|GO:0033993|GO:0005575|GO:0001570|GO:0008283|GO:0005667|GO:0042221|GO:0016070|GO:0070887|GO:0043170|GO:0051726|GO:0140110|GO:1901700|GO:0044703|GO:0030316|GO:0010468|GO:0009889|GO:0045935|GO:1901654|GO:0000978|GO:0051592|GO:0140513|GO:0043009|GO:0006357|GO:0001216|GO:0008134|GO:0009725|GO:0031960|GO:0000981|GO:0019222|GO:0071453|GO:0065007|GO:1901701|GO:0002573|GO:1901652|GO:0070482|GO:0071310|GO:0050793|GO:0003700|GO:0006366|GO:0002158|GO:0003006|GO:0008152|GO:0009314|GO:0009987|GO:1902680|GO:0009719|GO:0009059|GO:0001228|GO:0048869|GO:0031328|GO:0009888|GO:0071277|GO:0009612|GO:0010557|GO:0031325|GO:0006355|GO:0044237|GO:0009792|GO:0008150|GO:0048513|GO:0035976|GO:0043434|GO:0060255|GO:0033687|GO:0045595|GO:0036293|GO:1901362|GO:0001829|GO:0048856|GO:0051254|GO:0060136|GO:0071241|GO:0045893|GO:0000976|GO:0032501|GO:0005488|GO:0010243|GO:0071495|GO:0010604|GO:0051412|GO:0010556|GO:0034097|GO:0000977|GO:0003676|GO:0032502|GO:0001701|GO:0044249|GO:0046483|GO:0051716|GO:0031326|GO:0002521|GO:0006351|GO:0071456|GO:0031323|GO:0051591|GO:0001568|GO:0048518|GO:0097159|GO:0030154|GO:0030099|GO:0051094|GO:0014074|GO:0046683|GO:0003690|GO:0018130|GO:0034654|GO:0060674|GO:0097305|GO:0044238|GO:0010035	938780	24517
1397577_at					
1397945_at	Ccn6	cellular communication network factor 6	GO:0005615|GO:0008285|GO:0065007|GO:0005515|GO:0043226|GO:1901342|GO:0042127|GO:0050839|GO:1901681|GO:0110165|GO:0005178|GO:0051241|GO:0044877|GO:1901343|GO:2000181|GO:0050793|GO:0031012|GO:0043229|GO:0009987|GO:0065008|GO:0050789|GO:0043227|GO:2000377|GO:0050794|GO:0016525|GO:0048519|GO:0008150|GO:0003674|GO:0051881|GO:0048523|GO:0042391|GO:0043231|GO:1903426|GO:0007165|GO:0051239|GO:0005102|GO:0030312|GO:2000026|GO:0005488|GO:0051093|GO:0045765|GO:0097367|GO:0005575|GO:0022603|GO:0008201|GO:0031323|GO:0009889|GO:0005739|GO:0005539|GO:0007155|GO:0019222	1058532	499461
1368722_at	Lta	lymphotoxin alpha	GO:0008285|GO:0005515|GO:0043067|GO:0002682|GO:0008284|GO:0042127|GO:0002706|GO:0010628|GO:0110165|GO:0002874|GO:0009891|GO:0002925|GO:0048522|GO:0048534|GO:0098772|GO:0002678|GO:0050896|GO:0048583|GO:0009605|GO:0050729|GO:0009991|GO:0031349|GO:0002676|GO:0005126|GO:0002237|GO:0080134|GO:0016020|GO:0045597|GO:0050789|GO:0002822|GO:0009893|GO:0060251|GO:0032496|GO:0002684|GO:0002922|GO:0002861|GO:0009607|GO:0050794|GO:0048519|GO:0002699|GO:0009628|GO:0003674|GO:0009410|GO:0010033|GO:0060284|GO:0031347|GO:0002923|GO:0042981|GO:0050778|GO:0002863|GO:0002891|GO:0006950|GO:0048584|GO:0005102|GO:0001666|GO:2000026|GO:0010720|GO:0051707|GO:0051962|GO:0140677|GO:0002708|GO:0033993|GO:0002824|GO:0050769|GO:0005575|GO:0032729|GO:0042221|GO:0006955|GO:1901700|GO:0010468|GO:0009889|GO:0002876|GO:0032101|GO:0043068|GO:0032649|GO:0002821|GO:0060252|GO:0019222|GO:0005615|GO:0065007|GO:0006959|GO:0001819|GO:0042742|GO:0070482|GO:0005164|GO:0050793|GO:0051240|GO:0002705|GO:0009987|GO:0007584|GO:0031328|GO:0030545|GO:0030546|GO:0050830|GO:0032813|GO:0043065|GO:0010557|GO:0031325|GO:0001817|GO:0002697|GO:0002712|GO:0014015|GO:0051960|GO:0002714|GO:0008150|GO:0048513|GO:0044419|GO:0050776|GO:0060255|GO:0048523|GO:0002819|GO:0045595|GO:0005125|GO:0036293|GO:0050727|GO:0002920|GO:0048856|GO:0002889|GO:0043207|GO:0007165|GO:0051239|GO:0048145|GO:0050767|GO:0002703|GO:0005488|GO:0010604|GO:0010556|GO:0032502|GO:0014013|GO:0031326|GO:0031323|GO:0009617|GO:0048518|GO:0002376|GO:0048018|GO:0031667|GO:0051094|GO:0048535|GO:0032103|GO:0048147|GO:0006952|GO:0098542	942120	25008
1386320_at					
1382859_at					
1373040_at	Eif3f	eukaryotic translation initiation factor 3, subunit F	GO:0005515|GO:0140096|GO:0045202|GO:0110165|GO:0140492|GO:0016282|GO:0070993|GO:0071826|GO:0008234|GO:0022607|GO:0016043|GO:0032991|GO:0016032|GO:0008152|GO:0005488|GO:0009987|GO:0004843|GO:0075522|GO:0008237|GO:0090079|GO:0003676|GO:0071840|GO:0003743|GO:0001732|GO:0005575|GO:0030054|GO:0043933|GO:0006413|GO:0031369|GO:0016787|GO:0065003|GO:0097159|GO:0044237|GO:0045182|GO:0003824|GO:0008150|GO:0022618|GO:0008135|GO:0042802|GO:0008233|GO:0003674|GO:0101005|GO:0005852|GO:0071541|GO:0019783|GO:0033290|GO:1990904	994174	293427
1373407_at					
1368354_at	Gstt1	glutathione S-transferase theta 1	GO:0014070|GO:0110165|GO:0016684|GO:0043412|GO:0005737|GO:0016491|GO:1901360|GO:0098754|GO:0050896|GO:0006807|GO:0009605|GO:0008152|GO:0009987|GO:0007584|GO:0009991|GO:0004364|GO:0047651|GO:0033273|GO:0006259|GO:0034641|GO:0010269|GO:0019120|GO:0033197|GO:0016740|GO:0098869|GO:0044237|GO:0006749|GO:0003824|GO:0004601|GO:0008150|GO:0003674|GO:0009410|GO:0018900|GO:0006139|GO:0006725|GO:0010033|GO:1990748|GO:0004602|GO:0016209|GO:0071704|GO:0006304|GO:0016824|GO:0006805|GO:0090304|GO:0005575|GO:0009751|GO:0046483|GO:0042221|GO:0043170|GO:1901700|GO:0016787|GO:0016765|GO:0005829|GO:0042197|GO:0031667|GO:0044238|GO:0010035	943978	25260
